,playlist_name,edited_ymd,edited_time
0,artsy fartsy,2016-10-24,01:52:28
1,artsy fartsy,2016-10-24,01:54:01
2,artsy fartsy,2016-10-24,01:57:05
3,artsy fartsy,2016-10-24,01:57:43
4,artsy fartsy,2016-10-24,01:59:44
5,artsy fartsy,2016-10-24,01:59:54
6,artsy fartsy,2016-10-24,02:01:02
7,artsy fartsy,2016-10-24,02:01:55
8,artsy fartsy,2016-10-24,02:03:20
9,artsy fartsy,2016-10-24,02:06:38
10,artsy fartsy,2016-10-24,02:06:43
11,artsy fartsy,2016-10-24,02:06:49
12,artsy fartsy,2016-10-24,02:07:18
13,artsy fartsy,2016-10-24,02:09:45
14,artsy fartsy,2016-10-24,02:10:16
15,artsy fartsy,2016-10-24,02:10:25
16,artsy fartsy,2016-10-24,02:11:09
17,artsy fartsy,2016-10-24,02:12:13
18,artsy fartsy,2016-10-24,02:17:56
19,artsy fartsy,2016-10-24,02:18:00
20,artsy fartsy,2016-12-05,05:00:10
21,artsy fartsy,2016-12-05,05:00:18
22,artsy fartsy,2016-12-05,05:03:18
23,artsy fartsy,2017-07-16,01:01:29
24,When you need it,2016-05-13,00:05:38
25,When you need it,2016-10-24,02:00:53
26,When you need it,2016-05-24,23:37:36
27,When you need it,2016-10-14,04:25:46
28,When you need it,2016-11-27,05:27:35
29,When you need it,2016-07-22,04:19:44
30,When you need it,2016-07-22,04:20:39
31,don't worry about it,2016-10-26,01:15:38
32,don't worry about it,2016-10-26,01:16:10
33,don't worry about it,2016-10-26,01:16:36
34,don't worry about it,2016-10-26,01:19:01
35,don't worry about it,2016-10-26,01:21:03
36,don't worry about it,2016-10-26,01:21:20
37,don't worry about it,2016-10-26,01:22:06
38,don't worry about it,2016-10-26,01:22:31
39,don't worry about it,2016-10-26,01:22:46
40,don't worry about it,2016-10-26,01:23:05
41,i'd make u up,2016-10-26,01:24:01
42,i'd make u up,2016-10-26,01:24:17
43,i'd make u up,2016-10-26,01:24:52
44,i'd make u up,2016-10-26,01:25:11
45,i'd make u up,2016-10-26,01:26:00
46,i'd make u up,2016-10-26,01:26:21
47,i'd make u up,2016-10-26,01:26:49
48,i'd make u up,2016-10-26,01:27:08
49,i'd make u up,2016-10-26,01:28:07
50,i'd make u up,2016-10-26,01:28:27
51,i'd make u up,2016-10-26,01:28:56
52,i'd make u up,2016-10-26,01:29:22
53,i'd make u up,2016-10-26,01:29:52
54,flerw,2016-11-20,23:47:52
55,flerw,2016-11-20,23:55:07
56,flerw,2016-11-20,23:59:48
57,flerw,2016-11-21,00:00:41
58,flerw,2016-11-21,00:15:31
59,flerw,2016-11-21,00:18:25
60,flerw,2016-11-21,00:21:58
61,flerw,2016-11-21,00:23:08
62,flerw,2016-11-22,15:21:29
63,flerw,2016-11-22,15:26:42
64,flerw,2016-11-23,17:48:36
65,flerw,2017-06-28,02:49:53
66,flerw,2017-07-01,15:02:58
67,flerw,2017-07-01,15:03:20
68,flerw,2017-07-01,15:03:34
69,you're so stinkin' cute!!,2016-10-26,01:09:43
70,you're so stinkin' cute!!,2016-10-26,01:11:06
71,you're so stinkin' cute!!,2016-10-26,01:11:25
72,you're so stinkin' cute!!,2016-10-26,01:11:43
73,you're so stinkin' cute!!,2016-10-26,01:12:13
74,you're so stinkin' cute!!,2016-10-26,01:12:30
75,you're so stinkin' cute!!,2016-10-26,01:13:13
76,you're so stinkin' cute!!,2016-10-26,01:14:31
77,hang on little tomato,2016-10-26,01:05:12
78,hang on little tomato,2016-10-26,01:05:40
79,hang on little tomato,2016-10-26,01:06:00
80,hang on little tomato,2016-10-26,01:06:19
81,hang on little tomato,2016-10-26,01:06:38
82,hang on little tomato,2016-10-26,01:06:54
83,hang on little tomato,2016-10-26,01:07:08
84,hang on little tomato,2016-11-08,03:54:03
85,hang on little tomato,2016-10-26,01:07:28
86,hang on little tomato,2016-10-26,01:08:25
87,songs that break my heart,2016-10-15,03:07:39
88,songs that break my heart,2016-10-15,03:07:46
89,songs that break my heart,2016-10-15,03:07:53
90,songs that break my heart,2016-10-15,03:09:06
91,songs that break my heart,2016-10-15,03:09:14
92,songs that break my heart,2016-10-15,03:09:21
93,songs that break my heart,2016-10-15,03:10:25
94,songs that break my heart,2016-10-15,03:11:02
95,songs that break my heart,2016-10-15,03:11:34
96,songs that break my heart,2016-10-15,03:11:42
97,songs that break my heart,2016-10-15,03:12:12
98,songs that break my heart,2016-10-15,03:12:49
99,songs that break my heart,2016-10-15,03:13:18
100,songs that break my heart,2016-10-15,03:13:52
101,songs that break my heart,2016-10-15,03:14:28
102,songs that break my heart,2016-10-15,03:14:53
103,songs that break my heart,2016-10-15,03:17:20
104,songs that break my heart,2016-10-15,03:17:28
105,songs that break my heart,2016-10-15,03:18:07
106,songs that break my heart,2016-10-15,03:26:01
107,songs that break my heart,2016-10-15,03:26:20
108,songs that break my heart,2016-10-15,19:12:29
109,songs that break my heart,2017-10-15,02:46:00
110,looking for a savior,2017-03-02,03:18:43
111,looking for a savior,2017-03-02,03:36:53
112,looking for a savior,2017-03-02,03:56:08
113,looking for a savior,2017-03-02,03:18:30
114,looking for a savior,2017-03-02,03:22:16
115,looking for a savior,2017-03-02,03:19:57
116,looking for a savior,2017-03-02,03:12:23
117,looking for a savior,2017-03-02,03:17:45
118,looking for a savior,2017-03-02,03:12:52
119,looking for a savior,2017-03-02,03:51:01
120,Heavy Feeling,2016-11-27,05:23:16
121,Heavy Feeling,2016-11-27,05:19:31
122,Heavy Feeling,2016-11-27,05:20:47
123,Heavy Feeling,2016-11-27,05:30:20
124,Heavy Feeling,2016-11-27,05:30:47
125,Heavy Feeling,2016-11-27,05:32:29
126,Heavy Feeling,2016-11-27,05:44:34
127,Heavy Feeling,2016-11-27,05:37:27
128,Heavy Feeling,2016-11-27,05:58:33
129,Heavy Feeling,2016-11-27,05:58:33
130,Heavy Feeling,2016-11-27,05:58:33
131,Heavy Feeling,2016-11-27,05:58:33
132,Heavy Feeling,2016-11-27,05:58:33
133,Heavy Feeling,2016-11-27,05:58:33
134,Heavy Feeling,2017-02-13,19:39:09
135,Heavy Feeling,2017-07-15,19:28:01
136,Heavy Feeling,2017-07-15,19:28:32
137,Heavy Feeling,2017-07-15,19:46:26
138,Re-education pt. 1,2016-11-27,04:26:45
139,Re-education pt. 1,2016-07-23,04:38:53
140,Re-education pt. 1,2016-07-23,04:39:44
141,Re-education pt. 1,2016-07-23,04:47:17
142,Re-education pt. 1,2016-07-23,04:58:33
143,Re-education pt. 1,2016-07-23,05:11:05
144,Re-education pt. 1,2016-07-23,05:11:41
145,Re-education pt. 1,2016-07-23,05:12:30
146,Re-education pt. 1,2016-07-23,05:22:03
147,Re-education pt. 1,2016-07-23,05:25:30
148,Re-education pt. 1,2016-07-23,05:27:47
149,Re-education pt. 1,2016-07-23,05:32:25
150,Re-education pt. 1,2016-07-23,05:36:46
151,Re-education pt. 1,2016-07-23,05:38:39
152,Re-education pt. 1,2016-07-23,05:43:04
153,Re-education pt. 1,2016-11-27,04:17:41
154,Re-education pt. 1,2016-11-27,04:17:48
155,Re-education pt. 1,2017-03-04,00:15:30
156,Re-education pt. 2,2016-11-27,04:33:56
157,Re-education pt. 2,2016-11-21,00:07:30
158,Re-education pt. 2,2016-11-27,04:26:19
159,Re-education pt. 2,2016-11-21,00:10:34
160,Re-education pt. 2,2016-11-21,00:08:34
161,Re-education pt. 3,2016-11-27,03:28:50
162,Re-education pt. 3,2016-11-27,03:30:34
163,Re-education pt. 3,2016-11-27,03:33:15
164,Re-education pt. 3,2016-11-27,03:34:59
165,Re-education pt. 3,2016-11-27,03:40:58
166,Re-education pt. 3,2016-11-27,03:46:24
167,Re-education pt. 3,2016-11-27,03:48:14
168,Re-education pt. 3,2016-11-27,03:53:11
169,Re-education pt. 3,2016-11-27,03:53:34
170,Re-education pt. 3,2016-11-27,03:58:56
171,Re-education pt. 3,2016-11-27,04:03:04
172,Re-education pt. 3,2016-11-27,04:03:08
173,Re-education pt. 3,2016-11-27,04:04:14
174,Re-education pt. 3,2016-11-27,04:05:56
175,Re-education pt. 3,2016-11-27,04:07:20
176,Re-education pt. 3,2016-11-27,04:09:01
177,Re-education pt. 3,2016-11-27,04:10:14
178,Re-education pt. 3,2016-11-27,04:11:18
179,Re-education pt. 3,2016-11-27,04:13:43
180,Re-education pt. 3,2016-11-27,04:14:51
181,Re-education pt. 3,2016-12-12,17:41:39
182,Re-education pt. 3,2016-12-12,17:41:54
183,Re-education pt. 3,2016-12-21,00:49:28
184,Re-education pt. 3,2016-12-21,00:58:33
185,Re-education pt. 4,2017-03-04,00:01:17
186,Re-education pt. 4,2017-03-04,00:02:00
187,Re-education pt. 4,2017-03-04,00:05:19
188,Re-education pt. 4,2017-03-04,00:05:44
189,Re-education pt. 4,2017-03-04,00:08:03
190,Re-education pt. 4,2017-03-04,00:08:52
191,Re-education pt. 4,2017-03-04,00:09:32
192,Re-education pt. 4,2017-03-04,00:12:31
193,Re-education pt. 4,2017-03-04,00:13:47
194,Re-education pt. 4,2017-03-04,00:14:18
195,Re-education pt. 4,2017-03-04,00:16:31
196,Re-education pt. 4,2017-03-04,00:17:58
197,Re-education pt. 4,2018-01-23,22:43:43
198,Re-education pt. 4,2018-11-19,20:38:58
199,Momma,2017-05-31,22:50:17
200,Momma,2017-05-31,22:50:29
201,Momma,2017-05-31,22:50:51
202,Momma,2017-05-31,22:53:20
203,Momma,2017-05-31,22:59:13
204,Momma,2017-05-31,23:00:05
205,Momma,2017-05-31,23:01:41
206,Momma,2017-05-31,23:02:46
207,Momma,2017-05-31,23:05:48
208,Momma,2017-05-31,23:06:17
209,Momma,2017-05-31,23:10:53
210,Momma,2017-05-31,23:11:34
211,Momma,2017-05-31,23:12:58
212,Momma,2017-05-31,23:17:23
213,Momma,2017-05-31,23:21:42
214,Momma,2017-05-31,23:26:53
215,Momma,2017-05-31,23:31:58
216,Momma,2017-05-31,23:36:57
217,Momma,2017-05-31,23:38:23
218,Momma,2017-05-31,23:40:09
219,Momma,2017-05-31,23:40:58
220,Momma,2017-05-31,23:45:02
221,Momma,2017-05-31,23:45:24
222,Momma,2017-05-31,23:45:57
223,Momma,2021-05-02,19:40:29
224,Momma,2021-12-19,05:10:02
225,Momma,2021-12-19,05:10:39
226,Momma,2022-07-09,22:46:17
227,Momma,2022-11-06,22:21:50
228,Lina's Country Classics,2017-07-03,22:31:48
229,Lina's Country Classics,2017-07-03,22:31:53
230,Lina's Country Classics,2017-07-03,22:31:59
231,Lina's Country Classics,2017-07-03,22:33:11
232,Lina's Country Classics,2017-07-03,22:33:56
233,Lina's Country Classics,2017-07-03,22:34:02
234,Lina's Country Classics,2017-07-03,22:34:31
235,Lina's Country Classics,2017-07-03,22:34:49
236,Lina's Country Classics,2017-07-03,22:35:07
237,Lina's Country Classics,2017-07-03,22:35:44
238,Lina's Country Classics,2017-07-03,22:36:24
239,Lina's Country Classics,2017-07-03,22:36:44
240,Lina's Country Classics,2017-07-03,22:37:11
241,Lina's Country Classics,2017-07-03,22:37:29
242,Lina's Country Classics,2017-07-03,22:38:18
243,Lina's Country Classics,2017-07-03,22:38:53
244,Lina's Country Classics,2017-07-03,22:39:32
245,Lina's Country Classics,2017-07-03,22:40:27
246,Lina's Country Classics,2017-07-03,22:40:42
247,Lina's Country Classics,2017-07-03,22:40:48
248,Lina's Country Classics,2017-07-03,22:41:04
249,Lina's Country Classics,2017-07-03,22:41:43
250,Lina's Country Classics,2017-07-03,22:43:09
251,Lina's Country Classics,2017-07-03,22:43:20
252,Lina's Country Classics,2017-07-03,22:43:25
253,Lina's Country Classics,2017-07-03,22:43:41
254,Lina's Country Classics,2017-07-03,22:44:54
255,Lina's Country Classics,2017-07-03,22:45:14
256,Lina's Country Classics,2017-07-03,22:45:36
257,Lina's Country Classics,2017-07-03,22:45:57
258,Lina's Country Classics,2017-07-03,22:46:14
259,Lina's Country Classics,2017-07-04,14:01:51
260,Lina's Country Classics,2017-07-04,14:18:36
261,Lina's Country Classics,2017-07-04,14:18:43
262,Lina's Country Classics,2017-07-04,14:18:56
263,Lina's Country Classics,2017-07-11,01:58:56
264,Lina's Country Classics,2018-05-17,16:45:24
265,Lina's Country Classics,2018-11-20,16:58:32
266,Lina's Country Classics,2019-01-06,22:02:15
267,Lina's Country Classics,2019-01-06,22:03:03
268,Lina's Country Classics,2019-01-06,22:03:23
269,Lina's Country Classics,2019-01-06,22:03:57
270,Lina's Country Classics,2019-01-06,22:04:20
271,Lina's Country Classics,2019-01-06,22:04:46
272,Lina's Country Classics,2019-01-06,22:06:13
273,Lina's Country Classics,2019-01-06,22:06:20
274,Lina's Country Classics,2019-01-06,22:09:16
275,Lina's Country Classics,2019-01-06,22:09:53
276,Lina's Country Classics,2019-01-06,22:12:21
277,Lina's Country Classics,2019-01-06,22:12:34
278,Lina's Country Classics,2019-02-11,03:01:41
279,Lina's Country Classics,2019-06-28,21:30:30
280,Lina's Country Classics,2019-06-28,22:37:53
281,Lina's Country Classics,2019-06-28,22:38:24
282,Lina's Country Classics,2019-06-28,22:45:45
283,Lina's Country Classics,2019-06-28,22:47:14
284,Lina's Country Classics,2019-06-28,22:51:47
285,Lina's Country Classics,2019-06-28,22:52:29
286,Lina's Country Classics,2019-06-28,22:56:03
287,Lina's Country Classics,2019-11-17,00:28:25
288,Lina's Country Classics,2019-11-17,00:36:46
289,Lina's Country Classics,2019-11-19,22:36:52
290,Lina's Country Classics,2019-11-19,22:40:07
291,Lina's Country Classics,2019-11-19,22:40:30
292,Lina's Country Classics,2019-11-19,22:48:12
293,Lina's Country Classics,2020-02-05,02:06:45
294,Lina's Country Classics,2021-06-03,04:59:36
295,Lina's Country Classics,2021-06-03,05:00:07
296,Lina's Country Classics,2021-06-03,05:00:15
297,Lina's Country Classics,2021-06-03,05:00:17
298,Lina's Country Classics,2021-06-03,05:00:52
299,Lina's Country Classics,2021-06-03,05:02:09
300,Lina's Country Classics,2021-06-03,05:02:40
301,Lina's Country Classics,2021-06-03,05:02:49
302,Lina's Country Classics,2021-06-03,05:02:59
303,Lina's Country Classics,2021-06-03,05:03:04
304,Lina's Country Classics,2021-06-03,05:03:12
305,Lina's Country Classics,2021-06-03,05:03:38
306,Lina's Country Classics,2021-07-13,19:35:09
307,Lina's Country Classics,2021-08-02,15:55:44
308,Lina's Country Classics,2021-08-02,15:55:58
309,Lina's Country Classics,2021-08-02,15:56:45
310,Lina's Country Classics,2021-08-02,15:57:00
311,Lina's Country Classics,2021-08-05,23:26:34
312,Lina's Country Classics,2021-08-10,16:36:18
313,Lina's Country Classics,2021-10-09,16:12:23
314,Lina's Country Classics,2022-02-02,15:47:30
315,Lina's Country Classics,2022-06-02,23:46:06
316,Lina's Country Classics,2022-06-30,03:31:15
317,Lina's Country Classics,2022-07-15,02:49:16
318,Lina's Country Classics,2022-07-15,02:52:06
319,Lina's Country Classics,2022-07-15,02:52:34
320,Lina's Country Classics,2022-07-15,02:52:52
321,Lina's Country Classics,2022-07-15,02:53:19
322,Lina's Country Classics,2022-07-15,02:54:21
323,Lina's Country Classics,2022-07-15,02:55:30
324,Lina's Country Classics,2022-07-15,02:56:44
325,Lina's Country Classics,2022-07-15,02:57:30
326,Lina's Country Classics,2022-10-18,04:29:13
327,Lina's Country Classics,2022-10-18,04:33:00
328,Lina's happy-ish love songs,2016-05-12,23:44:05
329,Lina's happy-ish love songs,2016-05-12,23:44:31
330,Lina's happy-ish love songs,2016-05-12,23:45:13
331,Lina's happy-ish love songs,2016-05-12,23:47:30
332,Lina's happy-ish love songs,2016-05-12,23:47:45
333,Lina's happy-ish love songs,2016-05-12,23:49:29
334,Lina's happy-ish love songs,2016-05-12,23:50:52
335,Lina's happy-ish love songs,2016-05-12,23:51:21
336,Lina's happy-ish love songs,2016-05-12,23:53:28
337,Lina's happy-ish love songs,2016-05-12,23:54:54
338,Lina's happy-ish love songs,2016-05-12,23:56:26
339,Lina's happy-ish love songs,2016-05-12,23:56:44
340,Lina's happy-ish love songs,2016-05-12,23:58:11
341,Lina's happy-ish love songs,2016-05-12,23:59:21
342,Lina's happy-ish love songs,2016-05-13,00:01:47
343,Lina's happy-ish love songs,2016-05-13,00:02:39
344,Lina's happy-ish love songs,2016-05-13,00:03:24
345,Lina's happy-ish love songs,2016-05-13,00:04:03
346,Lina's happy-ish love songs,2016-05-13,00:07:28
347,Lina's happy-ish love songs,2016-05-13,00:07:49
348,Lina's happy-ish love songs,2016-05-13,00:08:07
349,Lina's happy-ish love songs,2016-05-13,00:10:24
350,Lina's happy-ish love songs,2016-05-13,00:12:05
351,Lina's happy-ish love songs,2016-05-13,00:17:02
352,Lina's happy-ish love songs,2016-05-13,01:27:25
353,Lina's happy-ish love songs,2016-05-13,01:27:45
354,Lina's happy-ish love songs,2016-05-13,01:28:04
355,Lina's happy-ish love songs,2016-05-14,20:18:46
356,Lina's happy-ish love songs,2016-05-14,20:19:45
357,Lina's happy-ish love songs,2016-05-14,20:22:39
358,Lina's happy-ish love songs,2016-05-14,20:23:27
359,Lina's happy-ish love songs,2016-05-14,20:24:15
360,Lina's happy-ish love songs,2016-05-14,20:26:52
361,Lina's happy-ish love songs,2016-05-14,20:27:21
362,Lina's happy-ish love songs,2016-05-14,20:28:43
363,Lina's happy-ish love songs,2016-05-14,20:30:14
