,playlist_name,url,description
0,artsy fartsy,https://mosaic.scdn.co/640/ab67616d0000b27312843952346aaa03f1f67970ab67616d0000b2731af6d89d7ccdb5d83fd7c2a8ab67616d0000b2734203f138ac5fed176cfd6bf9ab67616d0000b273b280bf256fcd5de35fd848d5,hipster trash
1,When you need it,https://mosaic.scdn.co/640/ab67616d0000b2737e4f55031b9237d561235953ab67616d0000b2738023e8614dcd638f19db8dccab67616d0000b273e46541278af6c9ba6881cb7eab67616d0000b273e61aa18bbda3f9c5dbb499b7,Brighter than &#x27;Heavy Feeling&#x27;
2,don't worry about it,https://mosaic.scdn.co/640/ab67616d0000b2733744b2ac418a362d4dc816b3ab67616d0000b2736610d24a244e8614424fae8eab67616d0000b273bc1eea2d47100a4498661df7ab67616d0000b273fcfd5863538f21ef2eb4df2c,This one is also a silver lining playlist.
3,i'd make u up,https://mosaic.scdn.co/640/ab67616d0000b2730478062bc04df0947d232fcbab67616d0000b2730c361a704fbbd3b5a429af6dab67616d0000b2735d02d7424dd0e0c8566b1e66ab67616d0000b273cc7cb5839c8db7e76856b299,This one&#x27;s visceral.
4,flerw,https://mosaic.scdn.co/640/ab67616d0000b2737582716b3666a5235d5af4eaab67616d0000b2737e63af1c77d374508ccb4ef7ab67616d0000b273d684ea63f359ff9a83c10bc8ab67616d0000b273fbdec8696ff05ae19265dfa0,My favorites from Telefone but mixed with a few other songs I enjoy that fit with Telefone&#x27;s vibe.
5,you're so stinkin' cute!!,https://mosaic.scdn.co/640/ab67616d0000b2732fa478d357cac0fd0407643fab67616d0000b2739aa6e0b710b259e012861cbfab67616d0000b273bfd3c1cebe28d211092caa30ab67616d0000b273ebcc3ef64dbef8acb47e2960,It&#x27;s in the name.
6,hang on little tomato,https://mosaic.scdn.co/640/ab67616d0000b2733ea80a48bb54bbbe7f8dbe8cab67616d0000b273589ce9a911c6e65b1f80c558ab67616d0000b273b90fb62545586c772a28abd4ab67616d0000b273ebcc3ef64dbef8acb47e2960,"This one&#x27;s still gray, but there&#x27;s a silver lining cutting through it."
7,songs that break my heart,https://mosaic.scdn.co/640/ab67616d0000b2737015a5dfc1b46e0dee45e09cab67616d0000b2737af5fdc5ef048a68db62b85fab67616d0000b2738eded59eb143ee6000a77c62ab67616d0000b273c985bcc18dd81da80839e5a9,This one is gray.
8,looking for a savior,https://mosaic.scdn.co/640/ab67616d0000b2731193abccaa0d022dbc7d96feab67616d0000b273186b99c16a671e882aae62f1ab67616d0000b2737e4f55031b9237d561235953ab67616d0000b2739ebce3b41d5b9b86d8881be6,"&quot;God did this so that they would seek him and perhaps reach out for him and find him, though he is not far from any one of us. ‘For in him we live and move and have our being.’&quot; Acts 17:27"
9,Heavy Feeling,https://mosaic.scdn.co/640/ab67616d0000b2739ebce3b41d5b9b86d8881be6ab67616d0000b273a973ec0c72b55ec62c966813ab67616d0000b273bb7a5690800769bfbab14e1bab67616d0000b273bf7c317a63c4f128b8823406,Catharsis for when I feel that giant pit in my stomach
10,Re-education pt. 1,https://mosaic.scdn.co/640/ab67616d0000b2730a63a929407a2257a1001341ab67616d0000b2731e2c21c76335a726538496cdab67616d0000b273201ae994b1a3f01802d65c2dab67616d0000b27389b56f56323925d57b38944d,Rap and r&amp;b where the production is sweet. Some nostalgia rap to re-visit
11,Re-education pt. 2,https://mosaic.scdn.co/640/ab67616d0000b273045b6b9b857f2bd8acd1870aab67616d0000b2735b5fd439a9153812a169877eab67616d0000b2738136c4571057b8bee8be50f7ab67616d0000b27389450c8e877bf04203b86819,"Mostly a continuation of pt. 1, just with a different production sound."
12,Re-education pt. 3,https://mosaic.scdn.co/640/ab67616d0000b27353d060bca8e1bfe646f09ef7ab67616d0000b27371807a41c9fa0536fc74687cab67616d0000b273bf373fb956297a3c0aa3a9a0ab67616d0000b273dcfdf9511445f2b5622dc530,This one&#x27;s all blues (i.e. the origin of everything).
13,Re-education pt. 4,https://mosaic.scdn.co/640/ab67616d0000b273096a7fc9668305db9d3175fcab67616d0000b2732cc2323c681b3f84cdc8379aab67616d0000b2737750146aac26aade0a867913ab67616d0000b273c7d1cb602d3c5deffb898664,childhood and other blasts from the past
14,Momma,https://mosaic.scdn.co/640/ab67616d0000b27301676d2605aa96da23c059b4ab67616d0000b2736033eb0ca150f7d26d897581ab67616d0000b2738f9f218b386e6aeb27184307ab67616d0000b273dfeb2eb5f36d7879dec30874,Her songs
15,Lina's Country Classics,https://mosaic.scdn.co/640/ab67616d0000b273ad861e10437aa5311df8b187ab67616d0000b273d8cc8031949336177c74989aab67616d0000b273e5f45090e84f2c416eb343fdab67616d0000b273fc47d4b00420fc21c7c0f5bb,
16,Lina's happy-ish love songs,https://mosaic.scdn.co/640/ab67616d0000b27305f94511cc38a2f4652d9f9cab67616d0000b27346e379c721504777a62bd9b8ab67616d0000b2735da2756220da9b6f17924f8fab67616d0000b273864de893eec3d7e102502dc8,Mostly just sap that I love.
17,Dancing slowly in a vast room,https://mosaic.scdn.co/640/ab67616d0000b27323bde4e85a5ca2e34b78f57bab67616d0000b2736b66e9099c7a66e58658f512ab67616d0000b27394a1f961356f2385ebd9ee36ab67616d0000b273bcf2e51e254b5bdd336c6cd9,You are alive
18,Introducing:,https://mosaic.scdn.co/640/ab67616d0000b2735480357871c6e206c141b15dab67616d0000b273a62f89ed451a7e568404b106ab67616d0000b273e71dd15fc5bdefd5bff70452ab67616d0000b273ff5b1079cd01d9d3984253f1,To give to anyone who wants to know more about me. This is a playlist where the order matters.
19,when you realize you’re both in love,https://i.scdn.co/image/ab67706c0000bebb59719a844ebdcaa35f86ba74,the movie score i&#x27;ve always wanted for my love story
20,to my future daughter or son,https://i.scdn.co/image/ab67706c0000bebb66dea66334a9b265d0c079cb,what i&#x27;d want them to know.
21,Apt. 435,https://i.scdn.co/image/ab67706c0000bebb1f10bf128e2b1146bcb6904f,"For restoration, redemption, new beginnings, God smiles, peace, and joy. For apartment 435 and all that will happen within her."
22,our first dance,https://i.scdn.co/image/ab67616d0000b27361de88ba81232a46ec0fd5ce,slow dancing in the living room.
23,Re-education: Bob Dylan,https://mosaic.scdn.co/640/ab67616d0000b27341720ef0ae31e10d39e43ca2ab67616d0000b2738d9a9f36c321909601535422ab67616d0000b273be3f348c57e212090a1bdcf7ab67616d0000b273e05b304c49b2afe53469b28f,it&#x27;s exactly what it sounds like.
24,sing me to sleep,https://i.scdn.co/image/ab67706c0000bebb7401b97dc9ff50b1515aaef3,"For when you&#x27;re sinking. Alternatively, the one that got famous on 8tracks way back when. Further, a reason to be kinder to younger me. "
25,"dont worry, you're doing just fine",https://mosaic.scdn.co/640/ab67616d0000b2736e8b31b2e7cec192c603eeceab67616d0000b27372d71d9702770c8f3b9ecc01ab67616d0000b27395fbb0015f728c74923089bbab67616d0000b273bc1eea2d47100a4498661df7,Another 8tracks original playlist from high school me.
26,a love letter to little me,https://mosaic.scdn.co/640/ab67616d0000b27368b7347e7eb2edaf0a6878f2ab67616d0000b27392eacbfef0d784eb9d057e74ab67616d0000b273c0758d813c09f649f630f405ab67616d0000b273e48fb3df960a0d0a4e43bbc3,everything I do is for you. 
27,You are safe,https://mosaic.scdn.co/640/ab67616d0000b2730bdbbc6c37f394d7b019824cab67616d0000b2734f5b0e7985a7254029df75b8ab67616d0000b273e2c4eea6d26d03ff4fda8a91ab67616d0000b273e46541278af6c9ba6881cb7e,For Chicago.
28,coming of age online,https://mosaic.scdn.co/640/ab67616d0000b273589ce9a911c6e65b1f80c558ab67616d0000b273cc68329bfbf34037df965dc1ab67616d0000b273eb1e84c533d22af6ff37b9d9ab67616d0000b273ed8a70a92499e619895646e8,we were only 16 - but we were the shit. in progress~
29,doin' the naughty,https://mosaic.scdn.co/640/ab67616d0000b2734ae1c4c5c45aabe565499163ab67616d0000b273b298538481c52f7e217ed000ab67616d0000b273c9c0fb3eb5330543b2768118ab67616d0000b273d134dbb0fad78dda23d777ff,okay. this another 8tracks original from 2012 - please do not forget this was from 2012. i also thought that you&#x27;d like to know my 14&#x2F;15 year old self called it &quot;fucking sexual&quot;
30,wedding playlist 2,https://mosaic.scdn.co/640/ab67616d0000b2737b15d77c4dc346ce1e444ca2ab67616d0000b273b298efc29df3b69ec3f0d675ab67616d0000b273db687db0afb257abdee10816ab67616d0000b273e410fa31e3dfcc7521cde86d,"it&#x27;s not really like super positive love songs, but i listened to &#x27;baby, i love you&#x27; again and i wanted the same vibe. i want to have a divine love. &#x27;til then i&#x27;ll just keep singing about it."
31,current nov22,https://mosaic.scdn.co/640/ab67616d0000b27312af95d19f192a5e11be5e25ab67616d0000b27324e282afa1d9a31d823632a4ab67616d0000b2733a6b982d06188cdb04e5f2f6ab67616d0000b273680f8df4afa24129f83cdab2,
