playlist_name,duration_min
Apt. 435,4.666261538461539
Dancing slowly in a vast room,4.135584523809524
Heavy Feeling,4.156316666666666
Introducing:,3.27441875
Lina's Country Classics,3.650548666666667
Lina's happy-ish love songs,3.6451676870748297
Momma,3.7285816091954023
Re-education pt. 1,4.19830462962963
Re-education pt. 2,3.271326666666667
Re-education pt. 3,4.053532638888889
Re-education pt. 4,4.166501190476191
Re-education: Bob Dylan,4.104439583333334
When you need it,4.409728571428571
You are safe,4.507170833333333
a love letter to little me,3.388137931034483
artsy fartsy,3.3962944444444445
coming of age online,4.1778146666666665
current nov22,2.9165500000000004
doin' the naughty,4.413583333333333
don't worry about it,3.454555
"dont worry, you're doing just fine",3.3932115384615384
flerw,3.614967777777778
hang on little tomato,3.2551685185185186
i'd make u up,3.622626923076923
looking for a savior,4.026223333333333
our first dance,3.56745
sing me to sleep,3.647189583333333
songs that break my heart,4.324565217391305
to my future daughter or son,3.4423875
wedding playlist 2,3.2776833333333335
when you realize youâ€™re both in love,3.2238277777777777
you're so stinkin' cute!!,3.39171875
